index,title,company,Skills,city,state,posted_date,type,salary,type,sal_min,sal_max,sal_median,origin
173,Jr. Data Scientist,Skilltune,"emass, xacta",New York,NY,3/20/2023,"Contract: W2, 14 Month(s)",$40 - $55,yearly,40000,55000,47500,dice.com
174,,,,,,,,,,,,,dice.com
175,,,,,,,,,,,,,dice.com
176,"Lead Data Scientist at Reston, Virginia (Initial Remote)","KMM Technologies, Inc","Hadoop, Analytics, AWS, ML, Hive",Reston,VA,4/13/2023,"Contract: Corp-To-Corp, W2, Independent, 24",,,,,,dice.com
177,Senior Data Scientist Health and Wellness DTC Consumer Product Company,Motion Recruitment,,Watertown,MA,4/8/2023,Full Time,,,,,,dice.com
178,Data Analyst/Scientist (Oracle),World Wide Technology,"Data Scientist, Oracle",,,4/5/2023,"Contract: W2, 12 Month(s)",Depends on Experience,,,,,dice.com
179,,,,,,,,,,,,,dice.com
180,Data Scientist 3,HII Mission Technologies,,San Antonio,TX,3/2/2023,Full Time,,,,,,dice.com
181,Data Scientist / Data Analyst,"firstPRO, Inc",R,Camden,NJ,3/22/2023,Full Time,"$80,000 - $100,000",yearly,80000,100000,90000,dice.com
182,Data Scientist - Hybrid,Benchmark IT- Technology Talent,"Data Science, Stem, AI, ML, Ds, Python, R, Matlab, Tensorflow, Tesseract, Pytorch, Keras, CI/CD, AWS, Azure, GCP, Github, Bitbucket, Google Colab, Kaggle, Communication",Greenwich,CT,2/28/2023,Full Time,Depends on Experience,,,,,dice.com
183,Adtech Data Scientist - 100% Remote in US,Motion Recruitment,,Boston,MA,4/3/2023,Full Time,,,,,,dice.com
184,Data Scientist (Hybrid Onsite 2 days a week),Xoriant Corporation,"Python, Unix, Oracle",Tampa,FL,4/5/2023,"Contract: Independent, W2, 12 Month(s)",$70 - $80,yearly,70000,80000,75000,dice.com
185,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting",Houston,TX,3/11/2023,Full Time,,,,,,dice.com
186,Data Scientist/ Agronomic Development,Motion Recruitment,,Philadelphia,PA,3/4/2023,Full Time,,,,,,dice.com
187,Data Scientist,Motion Recruitment,,San Diego ,CA,2/15/2023,Full Time,,,,,,dice.com
188,Data Scientist,Motion Recruitment,,Torrance ,CA,2/15/2023,Full Time,,,,,,dice.com
189,Data Scientist,Motion Recruitment,,Carlsbad,CA,2/15/2023,Full Time,,,,,,dice.com
190,Data Scientist,Motion Recruitment,,Irvine ,CA,2/14/2023,Full Time,,,,,,dice.com
191,Data Scientist,Motion Recruitment,,Los Angeles,CA,2/14/2023,Full Time,,,,,,dice.com
192,Data Scientist,SAIC,"Management, Systems, Python, NLP",Macdill AFB,FL,2/24/2023,Full Time,,,,,,dice.com
193,Data Scientist,AccruePartners,"It, Engineers, Engineering, Computer, Systems, Python, SQL",Fort Mill,SC,2/24/2023,Full Time,,,,,,dice.com
194,Jr. Machine Learning Data Scientist,"K2 Partnering Solutions, Inc.","Python, ML",,,3/13/2023,"Contract: W2, 6 Month(s)",$50 - $60,yearly,50000,60000,55000,dice.com
195,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
196,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
197,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Lake Mary,FL,2/23/2023,Full Time,,,,,,dice.com
198,Data Scientist / Hybrid in Dallas,Motion Recruitment,,Dallas,TX,3/7/2023,Full Time,,,,,,dice.com
199,Data Scientist (TS/SCI w/ poly),Motion Recruitment,,Washington,DC,3/3/2023,Full Time,,,,,,dice.com
200,Data Analyst,QED National,Data Analyst,New York,NY,4/12/2023,"Contract: W2, Corp-To-Corp, 6 month(s)",$45 - $53 per hour,hourly,45000,53000,49000,dice.com
201,Data Analyst,Randstad Technologies,Data Analyst,Schertz,TX,4/12/2023,Full Time,"USD70,000 - USD80,000",yearly,70000,80000,75000,dice.com
202,Data Analyst,Vaco Technology,Data Analyst,Kennesaw,GA,4/14/2023,Contract: W2,,,,,,dice.com
203,Senior Data Analyst,Confidential Company,Data Analyst,Boston,MA,4/14/2023,"Contract: W2, 2 Month(s)",Depends on Experience,,,,,dice.com
204,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,4/5/2023,Contract: W2,$55 - $62 per hour,hourly,55000,62000,58500,dice.com
205,Data Analyst,ITECCO Limited,Data Analyst,Austin,TX,4/5/2023,Full Time,$110000 - $140000 per annum,yearly,110000,140000,125000,dice.com
206,Data Analyst,Randstad Technologies,Data Analyst,Boston,MA,4/2/2023,Full Time,"USD100,000 - USD120,000",yearly,100000,120000,110000,dice.com
207,Data Analyst (Metadata),Experis,Data Analyst (Metadata),Charlotte,NC,4/15/2023,Contract: W2,,,,,,dice.com
208,Business Systems Analyst /Data Analyst,Canopy One Solutions Inc,"Business Systems Analyst, Data Analyst",Ofallon,MO,4/14/2023,"Contract: Independent, Corp-To-Corp, W2, long term",,,,,,dice.com
209,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,3/29/2023,Contract: W2,$55 - $62 per hour,hourly,55000,62000,58500,dice.com
210,Senior Data Analyst,Geopaq Logic,"Data Analyst, Data Modelling",Ridgefield Park,NJ,4/6/2023,"Contract: Independent, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
211,Data Analyst II,Experis,Data Analyst II,Plymouth,MN,4/8/2023,Contract: W2,,,,,,dice.com
212,System Data Analyst,Alpha Silicon,System Data Analyst,,,4/11/2023,Full Time,,,,,,dice.com
213,Data Analyst (MS Excel),Randstad Technologies,Data Analyst (Ms Excel),San Jose,CA,4/10/2023,Contract: W2,USD25 - USD30,hourly,25000,30000,27500,dice.com
214,Business / Data Analyst,Randstad Technologies,Business / Data Analyst,Boston,MA,4/12/2023,Contract: W2,USD50 - USD60,hourly,50000,60000,55000,dice.com
215,Data Analyst,"New Resources Consulting, LLC","B2B, Data Analyst, Data Governance, Relational Databases, Cloud, Power BI, Snowflake",Dane County,WI,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
216,Data Analyst,U.S. Tech Solutions Inc.,Data Analyst,,,3/24/2023,"Contract: W2, 4 Month(s)",Depends on Experience,,,,,dice.com
217,Business Data Analyst,"Softpath System, LLC.","Business Analyst, Data Analyst",,,4/5/2023,"Contract: W2, 12 Month(s)",Depends on Experience,,,,,dice.com
218,Business Data Analyst,"Javen Technologies, Inc","Data Analyst, Securities, Data Management, SQL, Data Analysis",Fort Mill,SC,4/10/2023,Contract: W2,$30 - $40,yearly,30000,40000,35000,dice.com
219,Data Analyst,INNOVIT USA INC,"SSIS, SQL Server, t-SQL, Data Analyst, Data Models",,,4/3/2023,"Contract: Corp-To-Corp, 6",$50 ,hourly,50,,50,dice.com
220,Data Analyst/DBA,"International Logic Systems, Inc. (ILS)","Computer Science, Data Analyst, Dba, Oracle",Washington D.C.,DC,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
221,IT Data Analyst,Randstad Technologies,IT Data Analyst,Overland Park,KS,4/4/2023,Contract: W2,USD50 - USD70,hourly,50000,70000,60000,dice.com
222,Interim Data Analyst,Accede Solutions Inc,"Data Analyst, Interim Data Analyst, Mmis, Datalynx, Dmp, Infor Lawson, Supply Chain Kpis, Nursing Par Optimization",Elmira,NY,4/14/2023,"Full Time, Contract: W2, Independent",BASED ON EXPERIENCE,,,,,dice.com
223,Healthcare Data Analyst (REMOTE),Blue Stone Staffing,"Data Analyst, Community Health, Regulatory Compliance",,,4/14/2023,Full Time,"$70,000 - $95,000",yearly,70000,95000,82500,dice.com
224,Marketing Data Analyst - REMOTE,FRG Technology Consulting,Marketing Data Analyst - Remote,Tampa,FL,4/12/2023,Full Time,,,,,,dice.com
225,Data Analyst,R2 Info,Data Analyst,,,4/5/2023,Full Time,"$90,000 - $110,000",yearly,90000,110000,100000,dice.com
226,Data Analyst,Honu Services,Data Analyst,Silver Spring,MD,3/18/2023,Full Time,,,,,,dice.com
227,Data Analyst,Crescent Solutions Inc,"Data Analyst, SQL, Excel, Tableau, Power BI, Data Analysis, Data Mapping, Data Integration, Validate Data",Century City,CA,4/7/2023,Full Time,"$80,000+",,80000,,80000,dice.com
228,Sr. Data Analyst,"Softworld, Inc.",Sr. Data Analyst,Leominster,MA,3/31/2023,Full Time,,,,,,dice.com
229,Data Analyst,"Tek Ryders, LLC","Data Analyst, Ms Word, Tableau, Excel, SQL, Power BI",,,4/10/2023,"Contract: W2, 1 Year(s)",Depends on Experience,,,,,dice.com
230,Technology Data Analyst,Enterprise Engineering,"Financial Industry, Data Analyst, Tableau, Analytical Skills",New York,NY,4/7/2023,"Contract: W2, Corp-To-Corp",Depends on Experience,,,,,dice.com
231,Business Data Analyst,"IT Trailblazers, LLC","Power BI, Analysis, Business Data Analyst",Las Vegas,NV,4/7/2023,Full Time,Depends on Experience,,,,,dice.com
232,FINANCIAL Data Analyst,"Digital Intelligence Systems, LLC",Financial Data Analyst,Washington,DC,3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 24 month(s)",,,,,,dice.com
233,Data Analyst - Remote / Telecommute,Cynet Systems,"Data Analyst, Preparing Reports, Code, Data - Analysis, Data Governance, Process Improvement",Phoenix,AZ,4/11/2023,"Contract: Corp-To-Corp, W2, Independent",Depends on Experience,,,,,dice.com
234,Healthcare Data Analyst - Onsite,"Resourcesoft, Inc.","Data Analyst, Excel, Healthcare, Microsoft",Springfield,MA,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
235,Cyber Recovery Data Analyst,Randstad Technologies,Cyber Recovery Data Analyst,,,4/10/2023,Contract: W2,USD8 - USD9,hourly,8,9,8.5,dice.com
236,Data Analyst,Ascendion Inc.,"Data Analyst, SQL, Data Wrangling, Jira, Adobe, Tableau",San Antonio,TX,4/6/2023,"Contract: W2, Full-time",USD10.0000 - USD40.0000,hourly,10,40,25,dice.com
237,Capital Markets Data Analyst,Experis,Capital Markets Data Analyst,Charlotte,NC,4/6/2023,Contract: W2,,,,,,dice.com
238,Data Analyst,"Softpath System, LLC.","Data Analyst, Tableau, SQL Server, SQL, SSIS, t-SQL, Data Mining",Richmond,VA,3/31/2023,"Contract: W2, Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
239,Senior Data Analyst - Montvale NJ,Nigel Frank International,,Montvale,NJ,4/14/2023,Full Time,$120000 - $130000 per annum,yearly,120000,130000,125000,dice.com
240,Data Analyst,"Pyramid Consulting, Inc.","Data Analyst, Python, SQL, Tableau, AWS, AIrflow, Shell Scripting",Richmond,VA,4/7/2023,"Contract: W2, 08 Month(s)",$40 - $45,yearly,40000,45000,42500,dice.com
241,Business / Data Analyst (Charlotte),Matlen Silver,"Business Analyst, Data Analyst, Stakeholders, Risks",Charlotte,NC,4/5/2023,Full Time,USD50 - USD53 per hour,hourly,50000,53000,51500,dice.com
242,Data Analyst,CSG,"Data Analyst, Excel, Ms Office, Ms SQL, SQL, Data Analysis, Data Collection, Data Conversion, Data Management, Data Governance, Quality Improvement, Project Management, Business Analysis, Communication Skills",,,4/6/2023,Full Time,Depends on Experience,,,,,dice.com
243,System Data Analyst,PETADATA,"Data Analyst, IT Support, SAS, Software Development, Communication Skills, Excellent Communication, Software Engineering",Atlanta,GA,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
244,Data Analyst,Ascendion Inc.,"Remote, Data Analyst, SQL, Healthcare",Minneapolis,MN,3/21/2023,Full Time,USD50.0000 - USD60.0000,hourly,50,60,55,dice.com
245,Data Analyst,"IT Trailblazers, LLC","Access, Data Analyst, Information Systems, Power BI, Public Health, Regulatory Compliance, System Analysis",Boston,MA,4/7/2023,"Contract: W2, 6 Month(s)",$20 - $50,hourly,20000,50000,35000,dice.com
246,Senior Data Analyst,McKinsol Consulting Inc,"Data Analyst, Informatica, Researching, SAS, Data Mapping, Research",Deerfield Beach,FL,4/4/2023,"Contract: W2, 12 Month(s)",Depends on Experience,,,,,dice.com
247,Jr Data Analyst,Wimmer Solutions,"Data Analyst, Power BI, Business Intelligence",,,3/24/2023,"Contract: W2, 6 Month(s)",Up to $35,hourly,,35,35,dice.com
248,BI Data Analyst (Insurance),MDMS Recruiting,"Data Analyst, Data Analysis, Business Intelligence, Power BI, SQL, t-SQL, Power Automate, Powerautomate",,,4/10/2023,"Contract: W2, 12 Month(s)",$50 - $80,yearly,50000,80000,65000,dice.com
249,Data Analyst - SCM,NR Consulting LLC,"Alteryx, Data Analyst, Data Integration, Gsm, Sap, Tableau, Computer Science, Data Management",Auburn Hills,MI,4/6/2023,"Contract: W2, 12 Month(s)",$45 - $49.3,yearly,45000,49300,47150,dice.com
250,Data Scientist-100% Remote only W2 Allowed,Jade Biz Services,Python,,,3/28/2023,"Contract: W2, 6 month(s)",,,,,,dice.com
251,Data Scientist,"Engage Partners, Inc.",AI,New York,NY,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
252,Data Scientist,Darwin Recruitment,Data Engineering,Chicago,IL,4/15/2023,Full Time,$100000.00 - $120000.00 per annum,yearly,100000,120000,110000,dice.com
253,Data Scientist,ABN TECH CORP,"Python, ML, Arima, Sarima",San Francisco,CA,4/14/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000,70000,65000,dice.com
254,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",,,4/13/2023,Full Time,Depends on Experience,,,,,dice.com
255,Senior Data Scientist with Python,"Pyramid Consulting, Inc.","Data Scientist, Python, AI, ML",Irving,TX,3/16/2023,"Contract: W2, Independent, Corp-To-Corp, 30 Month(s)",$70 - $90,yearly,70000,90000,80000,dice.com
256,Data Scientist w/ MMM or MTA,Randstad Technologies,"Data Scientist ,  MMM or MTA",San Bruno,CA,3/24/2023,Contract: W2,USD60 - USD80,hourly,60000,80000,70000,dice.com
257,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance Metrics, Data Pre-Processing, Neural or NLP, AB Testing",,WI,4/14/2023,"Contract: W2, Corp-To-Corp",USD Depends on Experience,,,,,dice.com
258,"Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance",EMW Staffing Solutions LLC,Geospatial,Springfield,VA,3/28/2023,Full Time,"$85,000 - $130,000",yearly,85000,130000,107500,dice.com
259,Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist.,"Pyramid Consulting, Inc.",Data Analyst,,,4/6/2023,Full Time,"$100,000 - $120,000",yearly,100000,120000,110000,dice.com
260,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BQ, Scientist, Vertex AI",San Jose,CA,4/13/2023,"Contract: Corp-To-Corp, 6 month(s)+",,,,,,dice.com
261,"Data Scientist, Candidates Must be local to Georgia",Taras Technology LLC,"Data Scientist, NLP, Deep Learning, Text Mining, Probabilistic, Pyspark, Java, Hadoop, Hive, Spark",Alpharetta,GA,4/14/2023,"Contract: W2, Corp-To-Corp, 8 Month(s)",$65 - $70,yearly,65000,70000,67500,dice.com
262,Data Scientist,"Zachary Piper Solutions, LLC",,McLean,VA,4/15/2023,Full Time,,,,,,dice.com
263,Lead Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, AI, Business Intelligence, NLP, ETL, AI",,,3/20/2023,"Contract: W2, Independent, Corp-To-Corp",Depends on Experience,,,,,dice.com
264,"Data Scientist w/database technologies, including Oracle, SAP, DB2, Teradata, SQL Server, SAP HANA, MySQL 100% Remote",Zeektek,"Data Scientist, Python, Teradata, Oracle, SQL Server",,,4/14/2023,"Contract: W2, 6 Month(s)",$70 - $75,yearly,70000,75000,72500,dice.com
265,Data Scientist,Eliassen Group,,Charlotte,NC,4/13/2023,Contract: W2,,,,,,dice.com
266,"Data Scientist - Hybrid onsite (Tampa, FL)",Xoriant Corporation,"Data Science/Data Scientist, ML/ML, NLP, Oracle, Python/R, SQL, Big Data, Data Analyst",Tampa,FL,3/23/2023,"Contract: W2, 12 Month(s)",$80 - $85,yearly,80000,85000,82500,dice.com
267,Staff Data Scientist,High Country Search Group,"Data Science, Phd, MLops, NLP",New York,NY,4/11/2023,Full Time,"$170,000 - $215,000",yearly,170000,215000,192500,dice.com
268,"Data Scientist (Machine Learning) || Sunnyvale, CA (Onsite from Day1) || Contract",Spar Information Systems,"Python, ML",Sunnyvale,CA,4/14/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",,,,,,dice.com
269,Data Scientist,Yash Solutions LLC,"Data Scientist, ML, Python, AWS, Sagemaker, Athena, Glue, SQL",Greenville,SC,2/28/2023,Contract: W2,Depends on Experience,,,,,dice.com
270,Data Scientist,Kforce Technology Staffing,,Cincinnati,OH,4/13/2023,"Contract: W2, Temp",$47 - $51 hourly,hourly,47,51,49,dice.com
271,Data Scientist,IT Concepts Inc,"Statistical Analysis, ML, ML Model, Natural Language Processing, NLP, SQL, Advanced Queries, Python, SAS, R Program, Enterprise Data, Data Manipulation, Data Visualization, Data Analytics, Tableau",Woodlawn,MD,3/2/2023,Full Time,"$100,000 - $140,000",yearly,100000,140000,120000,dice.com
272,Data Scientist,Kforce Technology Staffing,,Redmond,WA,4/11/2023,"Contract: W2, Temp",$55 - $70 hourly,hourly,55,70,62.5,dice.com
273,Data Scientist,Peterson Technology Partners,Data Mining,,,3/31/2023,"Contract: Independent, W2, Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
274,Data Analyst- Machine Learning / Data scientist,Purple Drive Technologies LLC,"C+, Clustering, C++, D3.JS",Austin,TX,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
275,Data Scientist - Fulltime,CitiusTech,"Data Science, Elastic Search, Mongodb, Multivariate Testing, Predictive Analytics, Statistical Analysis, Pandas, Pig, Python, Scala, Data Modeling, ML",,,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
276,AI Data Scientist,Meridianservices LLC.,Data Scientist,Dallas,TX,2/9/2023,Full Time,Depends on Experience,,,,,dice.com
277,Data Scientist,Indotronix International Corp,"Analytics, Python, SQL",Portland,OR,4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110,hourly,100000,110000,105000,dice.com
278,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis",,,3/6/2023,Full Time,Depends on Experience,,,,,dice.com
279,Data Scientist,Apex Systems,,Richmond,VA,4/6/2023,Full Time,,,,,,dice.com
280,Data Scientist - NLP,ADDSOURCE,"Python, SQL, Kafka, NLP",Jersey City,NJ,4/11/2023,"Contract: Corp-To-Corp, long term",,,,,,dice.com
281,Data Scientist,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
282,Sr Data Scientist,"ATR International, Inc.",,San Mateo,CA,4/14/2023,Full Time,,,,,,dice.com
283,Contract Data Scientist,ALTA IT Services,"Power BI, Tableau, Cloud Computing, Automated Pipeline Building, Data Modeling, SQL, Python",Cincinnati,OH,4/6/2023,Contract: W2,Up to $80,hourly,,80,80,dice.com
284,,,,,,,,,,,,,dice.com
285,,,,,,,,,,,,,dice.com
286,Data Scientist,Xcelo Group Inc,,Dallas,TX,4/4/2023,"Full Time, Part Time, Contract: Independent, Corp-To-Corp, W2",,,,,,dice.com
287,,,,,,,,,,,,,dice.com
288,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical",Chicago,IL,4/14/2023,Full Time,$100000.00 to $125000.00 yearly,yearly,100000,125000,112500,dice.com
289,,,,,,,,,,,,,dice.com
290,,,,,,,,,,,,,dice.com
291,Data Scientist,Dew Software,"Data Scientist, ML, Communication Skills, Data Architecture, Problem - Solving Skills, Python, Data Engineering",,,2/14/2023,Contract: W2,Depends on Experience,,,,,dice.com
292,Data Scientist 2,Kforce Technology Staffing,,Redmond,WA,4/10/2023,"Contract: W2, Temp",$40 - $52 hourly,hourly,40,52,46,dice.com
293,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting",Princeton,NJ,4/13/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
294,,,,,,,,,,,,,dice.com
295,,,,,,,,,,,,,dice.com
296,Data Scientist Lead,Wipro Ltd.,,Tampa,FL,4/14/2023,Full Time,,,,,,dice.com
297,Data Scientist,Odesus,"AI, AI, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, Tensorflow, Kafka, Spark, Hadoop",Los Angeles,CA,4/10/2023,Full Time,"$120,000 - $175,000",yearly,120000,175000,147500,dice.com
298,Senior Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
299,Lead Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
300,Data Scientist,Jobot,,New York,NY,4/4/2023,Full Time,"$120,000 - $140,000 per year",yearly,120000,140000,130000,dice.com
301,Data Scientist II,Pax8,,Greenwood Village,CO,4/8/2023,Full Time,,,,,,dice.com
302,Data Scientist,Robert Half,"SQL, Excel, Python",Cherry Hill,NJ,4/9/2023,Full Time,$100000.00 to $120000.00 yearly,yearly,100000,120000,110000,dice.com
303,Data Scientist,Motion Recruitment,,Houston ,TX,3/29/2023,Full Time,,,,,,dice.com
304,Data Scientist,Maddisoft,,Houston,TX,3/28/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
305,Senior Microbiome Data Scientist,Motion Recruitment,,,,4/13/2023,Full Time,,,,,,dice.com
306,Data Scientist,Apex Systems,,Indianapolis,IN,3/28/2023,Full Time,,,,,,dice.com
307,Data Scientist,ApTask,"Python, SQL, Bert, NLP",,,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000,70000,65000,dice.com
308,Data Scientist (Energy Preferred),Jobot,,Herndon,VA,4/12/2023,Full Time,"$140,000 - $170,000 per year",yearly,140000,170000,155000,dice.com
309,Data Scientist (HDIP) - Hybrid,Irvine Technology Corporation (ITC),,Los Angeles,CA,4/11/2023,Full Time,"USD120,000 - USD175,000",yearly,120000,175000,147500,dice.com
310,Data Scientist Advisor,Kforce Technology Staffing,,Fairfax,VA,4/3/2023,"Contract: W2, Temp",$59.50 - $80.50 hourly,hourly,59.5,80.5,70,dice.com
311,,,,,,,,,,,,,dice.com
312,Data Scientist,E-Deft,,,,3/28/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
313,Data Scientist Senior,SAIC,"Research, Laboratory, Modeling, Computer, Engineering, Python, Security",Monterey,CA,4/13/2023,Full Time,,,,,,dice.com
314,Data Scientist,Novateur Technologies Inc.,"Statistical Modeling, Bayesian Model, Impact Model",Dallas,TX,4/4/2023,"Contract: Corp-To-Corp, Independent, W2, 6 Month(s)",Depends on Experience,,,,,dice.com
315,AVP & Data Scientist,Travelers,,Hartford,CT,4/12/2023,Full Time,"$164,600.00 - $271,500.00",yearly,164600,271500,218050,dice.com
316,,,,,,,,,,,,,dice.com
317,,,,,,,,,,,,,dice.com
318,Data Scientist,Global Data Consultants,,Carlisle,PA,3/24/2023,Full Time,,,,,,dice.com
319,Senior Data Scientist,Aerospace Corporation,,Chantilly,VA,4/6/2023,Full Time,,,,,,dice.com
320,Scientific - Data Scientist,Net2Source Inc.,,Lawrenceville,NJ,4/12/2023,"Contract: W2, Independent, 8+ mo(s)",$1 - $64.28 hr,hourly,1,64.28,32.64,dice.com
321,Data Scientist (TS/SCI with Full Scope Poly),Jefferson Frank,"AI, ML, Data",Falls Church,VA,4/12/2023,Full Time,$200000 - $220000 per annum,yearly,200000,220000,210000,dice.com
322,Sr. Data Scientist,Atyeti,"Python, AWS, Scala, Spark",Washington D.C.,DC,4/10/2023,"Contract: W2, Independent, Corp-To-Corp, 24 Month(s)",$70 - $80,yearly,70000,80000,75000,dice.com
323,Sr. Data Scientist,Atyeti,"Python, Scala, Spark, ML, AWS",,,4/10/2023,"Contract: W2, Independent",Depends on Experience,,,,,dice.com
324,Sr. Data Scientist I,Pax8,,Greenwood Village,CO,4/8/2023,Full Time,,,,,,dice.com
325,Data Scientist,TEKHiring,ML,Austin,TX,3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50,yearly,40000,50000,45000,dice.com
326,Data Scientist,Robert Half,"Python, Mathematical",Johnston,IA,4/4/2023,"Contract: Independent, W2",,,,,,dice.com
327,Sr Data Scientist,W3Global,"ML, Python, SQL, Neural Networks, (Natural Language Processing/Computer Vision), Tensorflow, Pytorch, Sklearn, Rest APIs, Docker/Kubernetes, Azure/AWS Clouds",Santa Clara,CA,4/12/2023,Full Time,USD120000.0/ANNUAL - USD160000.0/ANNUAL,yearly,120000,160000,140000,dice.com
328,Senior Data Scientist - Geospatial,Darwin Recruitment,Data Science,Dallas,TX,3/21/2023,Full Time,$140000.00 - $180000.00 per annum,yearly,140000,180000,160000,dice.com
329,Principle Data Scientist,ADDSOURCE,"Kafka, Hadoop, ML, Docker, AI Solution",Jersey City,NJ,4/10/2023,Full Time,,,,,,dice.com
330,Senior Data Scientist - Telematics,"Capgemini America, Inc.","Telematics, Python, Snowflake, Oracle, AWS Services",Hartford,CT,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
331,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers,,Hartford,CT,4/14/2023,Full Time,"$121,700.00 - $200,800.00",yearly,121700,200800,161250,dice.com
332,Senior Data Scientist III,"Korn Ferry/RELX, Inc. RPO",Legal,,,4/11/2023,Full Time,Depends on Experience,,,,,dice.com
333,Data Scientist - Fortune 500 Company,Motion Recruitment,,Irvine ,CA,4/7/2023,Full Time,,,,,,dice.com
334,Data Scientist - Fortune 500 Company,Motion Recruitment,,Houston,TX,4/7/2023,Full Time,,,,,,dice.com
335,Data Scientist - Fortune 500 Company,Motion Recruitment,,San Diego,CA,4/7/2023,Full Time,,,,,,dice.com
336,Data Scientist,Veear,"NLP, SQL, Tableau",Sunnyvale,CA,3/24/2023,"Contract: W2, Independent, Corp-To-Corp, 12 Month(s)",$45 - $90,yearly,45000,90000,67500,dice.com
337,Data Scientist,Info Dinamica Inc,"ML, Image Filtering, BInary Morphology, Perspective / Affine Transformation, Edge Detection, Tracking., Regression, Unsupervised Learning, Pca.",Santa Clara,CA,3/28/2023,"Contract: Independent, W2, Corp-To-Corp, 13 day((s))",,,,,,dice.com
338,Data Scientist - ML - Computer Vision,Eliassen Group,,Charlotte,NC,4/7/2023,Contract: W2,,,,,,dice.com
339,Data Scientist,FirstParty,"Python, SQL",,,3/24/2023,"Contract: W2, 12 Month(s)",$70 - $90,yearly,70000,90000,80000,dice.com
340,Data Scientist - Data Analyst,Chobanian Group,"Tableau, SQL, Python",Sunnyvale,CA,4/13/2023,"Contract: W2, Independent",$80 - $90,yearly,80000,90000,85000,dice.com
341,Data Scientist,MAXAR Technologies,,Arlington,VA,3/13/2023,Full Time,,,,,,dice.com
342,Actuarial Data Scientist - Remote,Amica,,Lincoln,RI,3/28/2023,Full Time,See Job Description,,,,,dice.com
343,,,,,,,,,,,,,dice.com
344,Data Scientist,Apex Systems,,Lenexa,KS,3/14/2023,Full Time,,,,,,dice.com
345,Sr. Data Scientist,Concentrix Catalyst,Network,,,4/1/2023,Full Time,,,,,,dice.com
346,Data Scientist II,"firstPRO, Inc","SQL, R, Python",,,3/29/2023,Full Time,"$90,000 - $120,000",yearly,90000,120000,105000,dice.com
347,Data Scientist,"SystemDomain, Inc.",,Hartford,CT,3/9/2023,"Full Time, Part Time, Contract: W2, Corp-To-Corp, Independent",,,,,,dice.com
348,Data Scientist / ML/AI / Chemistry / Manufacturing,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
