,company,description,location,salary,title
870,Facebook,"These data operations include operations supporting labeling for machine learning, data annotation for product development, data collection for new hardware…","Sunnyvale, CA",,"Director, Product Data Operations, AI"
871,Booz Allen Hamilton,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","Washington, DC",,"Fraud Data Analytics Specialist, Mid"
872,Day & Zimmermann - Corporate TA,Responsible for advanced analytical capabilities in support of D&Z data science initiatives. Responsible for applying advanced statistical concepts to analyze…,"Philadelphia, PA",,Data Scientist 2
873,kraken,"Experience applying data science techniques and knowledge, and building data science products. 12 or more years of experience within data analytics and data…",Remote,,Director of Data
874,Google,"Relevant professional experience with applied data analytics and predictive modeling. We're looking for engineers who bring fresh ideas from all areas,…","Atlanta, GA",,"Software Engineer III, Machine Learning"
875,US Equal Employment Opportunity Commission,"Evaluates the data, draws inferences and arrives at conclusions to create most effective presentation. Assures that the office supports the publishing of…","Washington, DC","$87,198 - $134,798 a year",Statistician
876,iknowvate technologies,"Python, SQL, Tableau, data science experience. Bachelor's degree in Computer science or equivalent, with minimum 8+ Years of relevant experience.","Philadelphia, PA",,"Data Scientist - Philadelphia, PA(Remote)"
877,Certified Collectibles Group,"Comfortable suggesting and implementing data pipeline changes. Comfortable dealing with disparate, unstructured, multilingual data sources.","Sarasota, FL",,Data Scientist (Highly Competitive Salary)
878,Barbaricum,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data. Active DoD TS/SCI clearance.","Virginia Beach, VA",,Data Scientist – Naval Special Warfare
879,Spotify,"Communicate data-driven insights and recommendations to non-technical audiences, through clear visualizations and data storytelling.","New York, NY +1 location",,"Data Scientist, Music Analytics"
880,CircleUp,"Experience selling a data product, ideally within CPG or financial markets. CircleUp is bringing the data-driven revolution that occurred in the public markets…","San Francisco, CA",,"Head of Business Development & Partnerships, Insights"
881,TELUS International,HR manager will oversee all aspects of Human Resources practices and processes. HR Manager will support business needs and ensure the proper implementation of…,Remote,,"HR Manager, Artificial Intelligence"
882,Prudential,Experience working with senior leaders to educate on data and data science capabilities and how to leverage them to solve complex business problems.,"Newark, NJ",,"Vice President, Strategy, Innovation, & Data Science"
883,James River Insurance Company,Conduct ongoing audits of data in all HR systems to ensure data integrity. Ensure data integrity of all HR systems’ data; identify and resolve errors and issues…,Remote +1 location,,Senior HR Data Analyst
884,Dascena,Passionate about applying data science to positively impact healthcare. Bachelor’s degree in a quantitative science or related field.,Remote,,Strategy Analyst
885,Prudential,"Bachelor's degree in computer science, data science, mathematics, or a related field. Work with architecture, data, and design teams to assist with data related…",Remote,,Machine Learning Engineer
886,Spotify,"You should have strong experimentation, metric & data creation, and data visualization skills as well as possess excellent communication skills to interface…","New York, NY",,"Data Scientist, Podcaster Mission"
887,BTAS,"Apply data to develop and provide analytical support to all levels of management. Create, develop, and/or apply existing tools and techniques to conduct data…","Langley AFB, VA",,Junior Data Scientist - Future
888,Cornerstone,"We are looking for a scrappy, hunter, with a 2-3 years of experience selling data movement, analytics, data science or similar SAAS solutions into mid -market…",Remote,,Mid Market Account Executive - AI/ ML / Data science Analytics
889,TechnoServe,"This will require a deep understanding of data structure, data processing, and software functions to support data flow and interoperability between systems.","Arlington, VA",,Data Scientist
890,Helm LLC,Prior application of data and reporting integrity and sustainability. Minimum of five years’ experience working with structured and non-structured data to…,Remote,,Data Scientist
891,CBRE,"Familiarity with data science techniques. A master’s degree and in economics, data science, statistics or related, PhD preferred.","Atlanta, GA",,Office Economist
892,"Scuttlebutt Services, LLC",Generating representative data sets for systems development and data science initiatives. 4+ years of experience designing data models and data warehouses…,"Chantilly, VA","$180,000 - $200,000 a year",Data Engineer
893,Sendle,Work with business intelligence and data engineering to design and develop data infrastructure to support partnerships evolution and growth.,Washington State +1 location,,"Data Analyst, Partnerships"
894,L3Harris Technologies,Work within a research team to develop creative and innovative interfaces for complex analytical data produced by machine learning and artificial intelligence…,"Wright-Patterson AFB, OH",,Artificial Intelligence (AI) Researcher
895,Pricesenz,"This position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…","Petersburg, VA",,Senior Data Engineer
896,Applied Information Sciences,"Design scalable data processing and analytics solutions, including Big data storage for various data types and large-scale data processing using Databricks.","Reston, VA",,Data Architect
897,Webstore Group,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Tamarac, FL",,Data Scientist
898,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. We partner closely with several cross-functional teams,…","Seattle, WA",,"Commerce Enforcement Analyst, Rule Writing"
899,Oak Ridge National Laboratory,"We accomplish this mission by conducting fundamental research in quantum computer science, developing and benchmarking quantum algorithms for scientific…","Oak Ridge, TN",,R&D Associate in Quantum Machine Learning
900,Panasonic Corporation of North America,Experience with visualizing data (e.g. data dashboards). You will work in a small team of data science and algorithm engineers to expand our internal and…,"Palo Alto, CA",,Data Engineer
901,Bossier Parish Community College,"Perform exploratory data analysis and visualization to get a better appreciation of the data. Minimum 3 years work experience in institutional research,…","Bossier City, LA",,Data Analyst Specialist
902,"Denali System Co., Ltd",Data science: 1 year (Preferred). Proven Experience in working with large scale data systems. Familiar with commonly used data analysis methods and very good…,"Mountain View, CA",,"Data Scientist -- Full-time, entry level"
903,Imidex,"BS Degree in data science, engineering, computer science, mathematics or related field with 2 or more years of related experience.","Denver, CO","$70,000 - $115,000 a year",Healthcare Research Data Analyst
904,Indeed,"Passion to answer Product/Engineering questions with data. Can fish for data: SQL, Pandas, MongoDB. Can do big data modeling work: Hadoop, Pig, Scala, Spark.","Denver, CO +2 locations","$187,000 - $231,000 a year",Senior Data Science Manager - Job Seeker Profile
905,University of California San Francisco,Must be interested in enabling health science through working on collaborative data science projects as well as building data science infrastructure and…,"San Francisco, CA",,Imaging Data Scientist
906,Smith Micro Software,"Able to understand various data streams and current methods in data transformation. 2+ years practical experience with data processing, database programming and…","Pittsburgh, PA",,Data Scientist
907,Indeed,"Curiosity and passion for data and data visualization. 4+ years of relevant experience in a data science, business analytics, business intelligence or…","Austin, TX","$89,000 - $118,000 a year","Marketing Analyst, Enterprise Experience"
908,Facebook,"Regularly manage pipeline activity and maintain data integrity, and proactively share data-centric updates with internal stakeholders.",Remote +4 locations,,"Technical Recruiter, Data Science"
909,ENGAGE Talent,Troubleshoot problems with data and processing. Eagerness to learn new skills and become an expert on the data and data modeling techniques as well as on the…,"Junior, WV",,Data Analyst /
910,PayPal,"Collaborate with external partners, including external credit/banking partners and data vendors. Through a combination of technological innovation and strategic…","Timonium, MD +4 locations",,Data Scientist 1
911,SAIC,"Conducts analysis and collaborates with subject matter experts in the planning, design, development, and execution of electronic data processing systems for…","Huntsville, AL",,Data Science Application Administrator
912,Facebook,Experience learning and applying state-of-the-art practices and methodologies for data disclosure including differential privacy and synthetic data generation.,"Washington, DC",,"Research Scientist, Statistics (Core Data Science - PhD)"
913,Microsoft,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC",,Supportability Program Manager - Big Data
914,Facebook,"PhD in a quantitative field such as statistics, physics, computer science or political methodology and 6+ years of relevant experience in data science or…",Remote +6 locations,,"Research Scientist Manager, Ads & Commerce"
915,Emerson,Help to create customer-focused analytics with data scientist peers. Generates reports for decision-making using data visualization tools.,"Sidney, OH +1 location",,Data Scientist
916,RCI,Strong data analysis and programming/simulation skills. Statistical data analysis: 3 years (Preferred). Provide statistical support including statistical design…,"New Brunswick, NJ",$50 - $55 an hour,Statistician
917,The Coca-Cola Company,"This job requires experience in analyzing big data using proven statistical tools and techniques, experience with solving data management problems and with…","Atlanta, GA",,Analytics Product Owner - Data Science
918,"JPMorgan Chase Bank, N.A.","We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Jersey City, NJ",,JPMWM - CARE - Data Scientist - Associate
919,Hiscox,"Create data views and own data quality. This role is a mix of data science, engineering and business analytics. Partner with business to solve problems.","Atlanta, GA",,Data Scientist
920,ID.me,"Partner with leadership and stakeholders to develop our data science function. In this role, you will work closely with the data team, various operational teams…",Virginia,,Data Scientist (Remote Eligible)
921,"Wellview, Inc.",Background in data warehouse design (e.g. dimensional modeling) and data mining. Collaborate with the technology team to integrate new data elements and…,"Nashville, TN",,Business Intelligence Analyst
922,Samsara,"4+ years experience as a data analyst, data engineer, or related role. Experience with data visualization, preferably in Tableau.",California,,Senior Data Analyst
923,American Credit Acceptance,"Leverage R, Python, SQL, Tableau, and other quantitative analytical techniques to extract and manipulate data, as well as to develop, analyze, validate and…","Spartanburg, SC",,Data Scientist
924,US Office of Personnel Management,"Analyze difficult statistics and other qualitative/quantitative data, particularly workforce data, FEVS data, survey data, retention, and retirement data.","Washington, DC","$72,750 - $94,581 a year",Statistician (Operations and Administration)
925,Spotify,"Bring our users to the forefront, ensuring data and insights are meaningful, so their needs guide us to the best solutions.","London, OR",,"Product Insights Manager, Content Platform"
926,"LS Technologies, LLC",Provide data driven insights to Senior Management that drive Innovation and a data driven vision for operations. Knowledge of AWS cloud native tools preferred.,"Washington, DC",,"Data Scientist, Machine Learning"
927,The Leading Niche,The Expert Statistician must have experience in handling confidential data and in taking all necessary steps to protect personally identifiable information from…,Remote,,Statistician Economist
928,Indeed,"Industry experience in a report development, data science, business analytics, business intelligence or comparable data engineering role, including data…",Remote,"$113,000 - $145,000 a year","Manager, Business Intelligence"
929,Convoy,Passion for high data quality and scaling/automating data science work. Understand data needs by interfacing with fellow data scientists and business partners.,"Seattle, WA",,Business Intelligence Engineer (All Levels)
930,"IntelliGenesis, LLC","Our benefits include: Medical, Dental and Vision Insurance, 25 days of PTO with the option to purchase up to an additional 5 days, 12 paid holidays, up to 10%…","Augusta, GA +1 location",,Language Analyst Talent Community
931,"World Wide Technology, Inc.","We take on the most challenging problems our customers face and provide innovative solutions that can involve data strategy, use cases & analytical modeling,…",Remote,,Sr. Analyst - Business and Analytics Advisors
932,Booz Allen Hamilton,"Ability to pursue a career in data science. Participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning…","St. Louis, MO",,Data Scientist Technical Trainee
933,Happify Health,"Strong educational background in data science, computer science, or equivalent, including hands-on data science projects and coursework in deep learning,…",Remote,,"Data Scientist, AI / NLP"
934,NYC Data Science Academy,An interest in data science. We nurture data science talent and advance student's careers. Friendly staff whom you can learn areas of data science on the side.,"New York, NY",,Admissions Associate
935,"Amazon Web Services, Inc.",Experience developing and managing data science platform and tools. Experience developing and managing data science platform and tools within AWS.,Remote,"$119,300 - $160,000 a year","Data Scientist, AWS Training & Certification"
936,NYC Cyber Command,"Developing and maintaining our data pipeline using Apache Beam, Java, Python and other data processing technologies; Expert knowledge in both Java and Python;","New York, NY",,Cyber Associate Data Engineer
937,DiDi Labs,Research and implement the cutting-edge machine learning algorithms and applications. Analysis on critical real world problems and develop solutions.,"Mountain View, CA",,"Machine Learning Engineers & Scientists, Ride-hailing Science"
938,Snark AI,"Familiarity with Machine Learning frameworks (Tensorflow, Pytorch, XGBoost, etc.). Strong Programming Skills (Python, C++, etc.).","Menlo Park, CA",,Machine Learning Engineer
939,ALSAC/St. Jude Children's Research Hospital,"Bachelor's degree in a quantitative field preferred or significant experience working in data-focused roles including data conversions, data archiving, business…",United States,,Director - Data Science & Insights
940,Rhino New York,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,Remote,,Data Engineer
941,Netflix,"Utilize internal software applications to source, cleanse and analyze a variety of greenhouse gas and spend data, with a special focus on historical production…","Los Angeles, CA",,"Data Analyst, Sustainability"
942,Allstate,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.","Northbrook, IL","$103,000 a year",Lead Data Engineer (Remote/Home-Based Opportunity)
943,Komodo Health,Delivered high-value data analytics projects that our existing data products could not cover. Incorporated a good understanding of the healthcare datasets at…,"New York, NY +2 locations",,Data Scientist
944,Cognizant Technology Solutions,"Our clients need flexible data structures and a streamlined data architecture that quickly turns data resources into informative, meaningful intelligence.","Jupiter, FL",,Onsite Support Lead (Data Lake)
945,Indeed,"Experience building and/or pulling data using SQL. Work alongside other data scientists and software engineers to expand Indeed's catalog of tools, techniques,…",Remote,"$138,000 - $174,000 a year",Staff Product Scientist - Candidate Delivery
946,Cedar Inc,"Cedar is a patient payment and engagement platform that leverages data science, consumer-centric design and technology to improve the healthcare experience for…","New York, NY",,Data Scientist (Product Analyst)
947,General Dynamics Information Technology,"2 years experience analyzing health-related data, specifically in SAS. Communicating with data managers, study personnel, and other clients regarding…","Aberdeen Proving Ground, MD",,Statistician (SAS)
948,LivePerson,Develop and implement effective and reasonable policies and practices to secure protected and sensitive data and ensure information security and compliance with…,Washington State,,"Governance, Risk and Compliance(GRC) Analyst"
949,Barbaricum,"Specifically, Data Scientists will apply data science expertise in support of Measures of Performance/Measures of Effectiveness (MOP/E) methodology, media…","McLean, VA",,Data Scientist
950,2nd Order Solutions,Training and development opportunities at cutting edge data-science conferences across the country. Our business analysts use data-driven analytics to provide…,"Glen Allen, VA",,Business Analyst
951,IOMAXIS,"The ideal candidate will have a strong knowledge of ML, NLP, deep learning, knowledge graphs, and the ability to architect solutions; from data collection to…",Remote +1 location,,AI/ML Engineer
952,Percheron LLC,"1+ years of blockchain experience in data science or research. Background in engineering, computer science, or economics.",Remote,,Crypto Asset Protocol Analyst
953,Credit Karma,5+ years of experience in managing data science teams. Build a strategic roadmap for data science model development in Trust & Safety.,"Oakland, CA",,"Director, Data Science Trust & Safety"
954,Booz Allen Hamilton,"Experience with building complex data pipelines. You’ll design and implement machine learning solutions for complex tasks on large data sets, including…","Annapolis Junction, MD",,Machine Learning Researcher
955,Spotify,"You have at least 7+ years of overall experience in the user research, data analytics, or data science. Manage a team of user researchers and data scientists.","New York, NY",,"Product Insights Manager, Ad Experience"
956,Tesla,"Own the data annotation pipeline, ensuring quality of data annotation for the entire team. Commitment to data accuracy and throughput.","Buffalo, NY",,Data Annotation Supervisor
957,FalconsUs,"ML apps Strong computer science fundamentals including knowledge of data structures and algorithms, computational complexity, and object oriented/functional…","Alpharetta, GA +1 location","$68,000 - $119,000 a year",Machine Learning Engineer
958,Jet Edge,Participate in regular market research; review and analyze market data and trends to triangulate aircraft market values and maintain aircraft values database.,"Columbus, OH +1 location",,Aviation Research Analyst
959,Everytown for Gun Safety,"The Data Scientist will be a key data resource for the research department, responsible for advanced data analysis, data infrastructure and management, and…","New York, NY",,Data Scientist
960,Facebook,"You should have a background in a quantitative or technical field, experience working with large data sets, and experience in data-driven decision making.",Remote +4 locations,,Data Scientist - Business Interfaces
961,Bristol Myers Squibb,"They will have the opportunity to work on complex data science problems including modeling techniques to interpret, infer and recommend based on insights from…","Princeton, NJ",,"Associate Director, Data Science"
962,Mandolin,You should be an experienced data engineer and data wrangler who enjoys optimizing data systems and building them from the ground up.,Indiana,,Data Engineer (All Levels)
963,Microsoft,"Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud solutions and support offerings.","Alpharetta, GA +2 locations",,"Manager, Cloud Solution Architects - Data & AI"
964,Overjet,"An ideal candidate for us is driven to thoroughly understand the data in our domain, developing data quality measures, and driving our product offerings via…","Boston, MA",,Data Analyst
965,WarnerMedia,"Leads the data analytics and engineering teams in research, development, and implementation of appropriate data systems.","New York, NY",,"Director, Data Analytics & Platform"
966,Microsoft,"We are looking for a Customer Engineer (CE) to contribute to our Customer’s Data & Analytics success by driving adoption, consumption, and support of our…","Chevy Chase, MD",,"Customer Engineer, Data Analytics"
967,Slack,You’ll help define and build a strong data culture at Slack by working cross-functionally with data leadership. Comfort with ambiguity and grace under pressure.,Remote +1 location,,"Director, Product Analytics and Data Science - Data Science"
968,Reliable Heating & Air,"Do you have experience data management’ providing monthly statistical reporting? Analyzing large data sets, both online and offline: 2 years (Required).","Kennesaw, GA","$90,000 - $100,000 a year",Senior Business Visualization Analyst
969,Vanderbilt University Medical Center,"Perform and document data analysis, data validation, and data mapping/design. The Tableau Business Intelligence Analyst at the Data and Research Center for the…","Nashville, TN",,Tableau Business Intelligence Analyst
970,UnitedHealth Group,"Develop learning and optimization plans collaboratively with data science, web analytics, and business stakeholders.","Eden Prairie, MN",,"Data Analyst - Eden Prairie, MN or Telecommute"
971,Zebit,1-3 years of experience in data science and advanced data analytics. Familiar with model and data pipelines. The Associate Data Scientist is responsible for the…,Remote,,Associate Data Scientist
972,Bloomberg,Influence priorities: Review market conventions and data relationships to set rules for data validation. Proficiency using data and statistical modeling and…,"Princeton, NJ",,Data Scientist
973,US National Science Foundation,These programs support research and education that expand the knowledge base of the mathematical and statistical sciences through awards to individual…,"Alexandria, VA","$174,225 - $194,516 a year","Division Director, Division of Mathematical Sciences (DMS)"
974,"Stifel, Nicolaus & Co., Inc.",Experience with data visualization software & dashboard generation. Experience with data visualization software & dashboard generation – Tableau experience…,"Bethesda, MD",,FINANCIAL ANALYST - DATA SCIENCE
975,Cloudmed (Formerly Revint Solutions),Identify gaps in our data collection and collaborate with Sales / Marketing / Finance on data capture specifications. Microsoft Powerpoint: 1 year (Preferred).,Remote,"$46,742 - $65,000 a year",Commercial Operations Analyst
976,Nielsen,"Preferred experience in big data technologies. Must have ability to manipulate, analyze, interpret large data sources, and tell a story from data through…","Oldsmar, FL +1 location",,Data Scientist
977,Verizon,"Skills with analyzing and deconstructing very large data sets. Conduct statistical analysis, 3rd party data integration and hypothesis testing.","Denver, CO +3 locations","$80,600 - $149,800 a year",Data Scientist
978,Keurig Dr Pepper,"Support cloud migration of data science services Develop a deep understanding of business data sets Design efficient and standardized data structures, database…","Burlington, MA",$26.00 - $37.50 an hour,Data Engineering Co-op
979,Microsoft,Experience working with unstructured and structured data with a solid understanding of big data solutions. Work creatively with data engineers to help create…,"Redmond, WA",,Business Intelligence Engineer- Data & Applied Sciences
980,Guidehouse,"Experience with data science, machine learning, and statistics. Identify the relationships among multiple sources and types of information to identify…","New York, NY",$70 an hour,Project Employee (Managing Consultant level) – Global Investigations & Compliance – Technology
981,Talend,Develop data fingerprinting models to inform users about duplicated and related data. Help users get more value from their data faster with data modeling and…,"Philadelphia, PA",,Data Scientist
982,Kepler Fi,"Build data ETL pipelines, robust machine learning systems to support the quantification of Fundamental investment processes. Buy-Side quant research experience.","New York, NY",,Senior Quant/Machine Learning Researcher (Contract)
983,Occam Solutions,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.","Camp Lejeune, NC",,Data Analyst-MARSOC Camp Lejeune NC
984,2nd Order Solutions,"Training and development opportunities at cutting edge data-science conferences across the country. Their ability to understand, navigate, and manipulate a…","Glen Allen, VA",,Data Scientist
985,BIOINTELLISENSE INC,"Develop data pre-processing scripts for use in data science pipelines. This engineer will help monitor deployments in the field, analyze data from our various…",Remote,,Data Science Support Engineer
986,Civis Analytics,"Grow Civis' business by delivering excellent work, identifying new strategic growth opportunities for the company, and developing expertise and credibility in…","Washington, DC",,"Applied Data Science Lead, Political"
987,Aaron's,"Proficiency in several areas of data modeling, predictive analytics, statistical modeling & analysis, data engineering and data visualization.","Atlanta, GA",,Data Analyst
988,Civis Analytics,"Make individual technical contributions to data science projects. Identify possible new data sources for survey weighting, and automate refreshes of existing…",Illinois,,"Tech Lead, Data Science"
989,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
990,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
991,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
992,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
993,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
994,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
995,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
996,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
997,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
998,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
999,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1000,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1001,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1002,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1003,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1004,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1005,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1006,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1007,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1008,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1009,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1010,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1011,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1012,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1013,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1014,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1015,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1016,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1017,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1018,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1019,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1020,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1021,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1022,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1023,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1024,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1025,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1026,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1027,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1028,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1029,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1030,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1031,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1032,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1033,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1034,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1035,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1036,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1037,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
